,amount,club,rnd,state,address,lat,lng,name,types,electorate
133,45000,Lake Macquarie Dockers Afl Club,3,NSW,"Tulkaba Oval, York St, Teralba NSW 2284, Australia",-32.95997870000001,151.6088753,Lake Macquarie Australian Football Club,"point_of_interest,establishment",Hunter
134,200000,Lismore Tennis Club,3,NSW,"East Lismore NSW 2480, Australia",-28.8228273,153.2943378,East Lismore Tennis Club,"point_of_interest,establishment",Page
135,200000,Merewether Carlton Rugby Union Club,3,NSW,"Merewether NSW 2291, Australia",-32.9431578,151.7548716,Merewether Carlton Rugby Club,"point_of_interest,establishment",Newcastle
136,50000,Moorebank Sports Soccer Club,3,NSW,"Heathcote Rd, Hammondville NSW 2173, Australia",-33.9544518,150.9554932,Moorebank Sports Soccer Club,"point_of_interest,establishment",Hughes
137,500000,Mosman Rowing Club,3,NSW,"The Spit Reserve, Mosman NSW 2088, Australia",-33.8083924,151.2459012,Mosman Rowing Club,"point_of_interest,establishment",Warringah
138,15000,Nepean Football Club,3,NSW,"9/51 York Rd, Penrith NSW 2750, Australia",-33.7666809,150.687129,Nepean Football Association,"point_of_interest,establishment",Lindsay
139,57326,Newcastle District Tennis Association,3,NSW,"Lambton Rd & Curley Rd, Broadmeadow NSW 2292, Australia",-32.9231993,151.7299197,Topspin Tennis,"point_of_interest,establishment",Newcastle
140,160000,Northern Beaches Council,3,NSW,"Northern Beaches Council, NSW, Australia",-33.6759923,151.2568777,Northern Beaches Council,"administrative_area_level_2,political",Mackellar
141,60642,Paramount Tennis Club,3,NSW,"Wingewarra St, Dubbo NSW 2830, Australia",-32.249712,148.6080097,Paramount Tennis Club,"point_of_interest,establishment",Parkes
142,500000,Pennant Hills Afl Club,3,NSW,"Pennant Hills NSW 2120, Australia",-33.7425862,151.0797861,Pennant Hills Football Club,"point_of_interest,establishment",Berowra
143,50000,Penrith City Council,3,NSW,"Penrith, NSW, Australia",-33.80484879999999,150.7214362,Penrith,"administrative_area_level_2,political",Lindsay
144,50000,Penrith City Council,3,NSW,"Penrith, NSW, Australia",-33.80484879999999,150.7214362,Penrith,"administrative_area_level_2,political",Lindsay
145,49000,Penrith District Netball Association,3,NSW,"Jamison Park Netball Complex, York Rd, Penrith NSW 2750, Australia",-33.7670729,150.6884659,Penrith District Netball Association,"point_of_interest,establishment",Lindsay
146,496214,Port Stephens Council,3,NSW,"Port Stephens, NSW, Australia",-32.7684603,151.8409214,Port Stephens,"administrative_area_level_2,political",Paterson
147,10828,Portland Golf Club Ltd,3,NSW,"60 Wallerawang Rd, Portland NSW 2847, Australia",-33.3613653,149.982405,Portland Golf Club,"point_of_interest,establishment",Calare
148,190000,Randwick City Council,3,NSW,"Randwick, NSW, Australia",-33.9495219,151.245218,Randwick,"administrative_area_level_2,political",Kingsford Smith
149,50000,Sans Souci Football Club,3,NSW,"The Promenade, Sans Souci NSW 2219, Australia",-33.9840291,151.1318512,Sans Souci Football Club,"point_of_interest,establishment",Cook
150,21042,Sawtell Bowling And Recreation Club Ltd,3,NSW,"1 Lyons Rd, Sawtell NSW 2452, Australia",-30.370962,153.100153,Sawtell Bowling & Recreation Club Ltd,"point_of_interest,establishment",Cowper
151,137530,Sawtell/ Toormina Australian Football Club,3,NSW,"Toormina NSW 2452, Australia",-30.3562725,153.0915967,Sawtell FC,"point_of_interest,establishment",Cowper
